date,close
2020-01-02,3.240
2020-01-03,3.254
2020-01-06,3.212
2020-01-07,3.257
2020-01-08,3.219
2020-01-09,3.290
2020-01-10,3.366
2020-01-13,3.359
2020-01-14,3.401
2020-01-15,3.410
2020-01-16,3.441
2020-01-17,3.483
2020-01-20,3.424
2020-01-21,3.397
2020-01-22,3.436
2020-01-23,3.478
2020-02-03,3.303
2020-02-04,3.422
2020-02-05,3.570
2020-02-06,3.682
2020-02-07,3.709
2020-02-10,3.732
2020-02-11,3.871
2020-02-12,3.971
2020-02-13,4.197
2020-02-14,4.010
2020-02-17,3.976
2020-02-18,3.837
2020-02-19,3.799
2020-02-20,3.820
2020-02-21,3.719
2020-02-24,3.558
2020-02-25,3.686
2020-02-26,3.619
2020-02-27,3.570
2020-02-28,3.392
2020-03-02,3.541
2020-03-03,3.565
2020-03-04,3.567
2020-03-05,3.571
2020-03-06,3.493
2020-03-09,3.258
2020-03-10,3.413
2020-03-11,3.294
2020-03-12,3.176
2020-03-13,3.217
2020-03-16,3.015
2020-03-17,3.081
2020-03-18,2.998
2020-03-19,3.061
2020-03-20,3.161
2020-03-23,3.019
2020-03-24,3.181
2020-03-25,3.302
2020-03-26,3.220
2020-03-27,3.159
2020-03-30,3.094
2020-03-31,3.099
2020-04-01,3.066
2020-04-02,3.123
2020-04-03,3.077
2020-04-07,3.175
2020-04-08,3.156
2020-04-09,3.168
2020-04-10,3.126
2020-04-13,3.095
2020-04-14,3.165
2020-04-15,3.237
2020-04-16,3.262
2020-04-17,3.375
2020-04-20,3.375
2020-04-21,3.348
2020-04-22,3.423
2020-04-23,3.465
2020-04-24,3.446
2020-04-27,3.567
2020-04-28,3.656
2020-04-29,3.722
2020-04-30,3.737
2020-05-06,3.748
2020-05-07,3.764
2020-05-08,3.789
2020-05-11,3.726
2020-05-12,3.656
2020-05-13,3.644
2020-05-14,3.586
2020-05-15,3.610
2020-05-18,3.651
2020-05-19,3.748
2020-05-20,3.721
2020-05-21,3.720
2020-05-22,3.596
2020-05-25,3.713
2020-05-26,3.797
2020-05-27,3.772
2020-05-28,3.757
2020-05-29,3.730
2020-06-01,3.744
2020-06-02,3.738
2020-06-03,3.771
2020-06-04,3.793
2020-06-05,3.792
2020-06-08,3.796
2020-06-09,3.802
2020-06-10,3.788
2020-06-11,3.786
2020-06-12,3.724
2020-06-15,3.665
2020-06-16,3.806
2020-06-17,3.820
2020-06-18,3.794
2020-06-19,3.802
2020-06-22,3.786
2020-06-23,3.819
2020-06-24,3.829
2020-06-29,3.760
2020-06-30,3.770
2020-07-01,3.786
2020-07-02,3.803
2020-07-03,3.802
2020-07-06,3.828
2020-07-07,3.839
2020-07-08,3.821
2020-07-09,3.839
2020-07-10,3.847
2020-07-13,3.925
2020-07-14,3.872
2020-07-15,3.882
2020-07-16,3.820
2020-07-17,3.868
2020-07-20,3.849
2020-07-21,3.983
2020-07-22,3.944
2020-07-23,3.956
2020-07-24,3.837
2020-07-27,3.849
