date,close
2020-01-02,1.466
2020-01-03,1.479
2020-01-06,1.450
2020-01-07,1.474
2020-01-08,1.453
2020-01-09,1.490
2020-01-10,1.528
2020-01-13,1.542
2020-01-14,1.524
2020-01-15,1.529
2020-01-16,1.511
2020-01-17,1.505
2020-01-20,1.514
2020-01-21,1.483
2020-01-22,1.498
2020-01-23,1.454
2020-02-03,1.416
2020-02-04,1.481
2020-02-05,1.514
2020-02-06,1.529
2020-02-07,1.517
2020-02-10,1.515
2020-02-11,1.507
2020-02-12,1.520
2020-02-13,1.529
2020-02-14,1.524
2020-02-17,1.546
2020-02-18,1.530
2020-02-19,1.512
2020-02-20,1.526
2020-02-21,1.517
2020-02-24,1.480
2020-02-25,1.486
2020-02-26,1.459
2020-02-27,1.456
2020-02-28,1.431
2020-03-02,1.445
2020-03-03,1.446
2020-03-04,1.435
2020-03-05,1.470
2020-03-06,1.448
2020-03-09,1.391
2020-03-10,1.429
2020-03-11,1.404
2020-03-12,1.369
2020-03-13,1.365
2020-03-16,1.312
2020-03-17,1.306
2020-03-18,1.281
2020-03-19,1.299
2020-03-20,1.352
2020-03-23,1.321
2020-03-24,1.366
2020-03-25,1.408
2020-03-26,1.414
2020-03-27,1.414
2020-03-30,1.414
2020-03-31,1.430
2020-04-01,1.386
2020-04-02,1.413
2020-04-03,1.400
2020-04-07,1.434
2020-04-08,1.414
2020-04-09,1.410
2020-04-10,1.402
2020-04-13,1.388
2020-04-14,1.417
2020-04-15,1.421
2020-04-16,1.448
2020-04-17,1.480
2020-04-20,1.480
2020-04-21,1.466
2020-04-22,1.481
2020-04-23,1.470
2020-04-24,1.452
2020-04-27,1.470
2020-04-28,1.489
2020-04-29,1.487
2020-04-30,1.509
2020-05-06,1.502
2020-05-07,1.493
2020-05-08,1.499
2020-05-11,1.517
2020-05-12,1.523
2020-05-13,1.530
2020-05-14,1.529
2020-05-15,1.518
2020-05-18,1.533
2020-05-19,1.582
2020-05-20,1.599
2020-05-21,1.580
2020-05-22,1.556
2020-05-25,1.541
2020-05-26,1.583
2020-05-27,1.563
2020-05-28,1.546
2020-05-29,1.549
2020-06-01,1.602
2020-06-02,1.596
2020-06-03,1.624
2020-06-04,1.653
2020-06-05,1.653
2020-06-08,1.652
2020-06-09,1.656
2020-06-10,1.685
2020-06-11,1.694
2020-06-12,1.672
2020-06-15,1.637
2020-06-16,1.705
2020-06-17,1.732
2020-06-18,1.767
2020-06-19,1.766
2020-06-22,1.762
2020-06-23,1.818
2020-06-24,1.869
2020-06-29,1.831
2020-06-30,1.845
2020-07-01,1.831
2020-07-02,1.849
2020-07-03,1.875
2020-07-06,1.901
2020-07-07,1.927
2020-07-08,1.953
2020-07-09,2.014
2020-07-10,2.023
2020-07-13,2.037
2020-07-14,1.976
2020-07-15,1.936
2020-07-16,1.851
2020-07-17,1.899
2020-07-20,1.893
2020-07-21,2.009
2020-07-22,2.006
2020-07-23,1.978
2020-07-24,1.880
2020-07-27,1.877
2020-07-28,1.927
2020-07-29,1.947
2020-07-30,1.938
2020-07-31,1.955
2020-08-03,1.963
2020-08-04,2.007
2020-08-05,2.023
2020-08-06,2.019
2020-08-07,1.959
2020-08-10,1.922
2020-08-11,1.915
2020-08-12,1.917
2020-08-13,1.931
2020-08-14,1.937
2020-08-17,1.932
2020-08-18,1.951
2020-08-19,1.955
2020-08-20,1.950
2020-08-21,1.992
2020-08-24,2.061
2020-08-25,2.085
2020-08-26,2.144
2020-08-27,2.160
2020-08-28,2.141
2020-08-31,2.130
2020-09-01,2.105
2020-09-02,2.158
2020-09-03,2.111
2020-09-04,2.043
2020-09-07,1.977
2020-09-08,1.982
2020-09-09,1.928
2020-09-10,1.962
2020-09-11,1.967
2020-09-14,2.004
2020-09-15,2.014
2020-09-16,2.016
2020-09-17,1.970
2020-09-18,1.982
2020-09-21,1.952
2020-09-22,1.948
2020-09-23,1.950
2020-09-24,1.921
2020-09-25,1.903
2020-09-28,1.929
2020-09-29,1.958
2020-09-30,1.967
2020-10-09,2.043
2020-10-12,2.094
2020-10-13,2.112
2020-10-14,2.126
2020-10-15,2.070
2020-10-16,2.078
2020-10-19,2.097
2020-10-20,2.092
2020-10-21,2.112
2020-10-22,2.100
2020-10-23,2.078
2020-10-26,2.080
2020-10-27,2.125
2020-10-28,2.199
2020-10-29,2.206
2020-10-30,2.144
2020-11-02,2.152
2020-11-03,2.174
2020-11-04,2.157
2020-11-05,2.233
2020-11-06,2.201
2020-11-09,2.270
2020-11-10,2.190
2020-11-11,2.076
2020-11-12,2.093
2020-11-13,2.130
2020-11-16,2.123
2020-11-17,2.089
2020-11-18,2.080
2020-11-19,2.076
2020-11-20,2.095
2020-11-23,2.141
2020-11-24,2.132
2020-11-25,2.124
2020-11-26,2.137
2020-11-27,2.158
2020-11-30,2.116
2020-12-01,2.108
2020-12-02,2.072
2020-12-03,2.082
2020-12-04,2.106
2020-12-07,2.085
2020-12-08,2.091
2020-12-09,2.094
2020-12-10,2.076
2020-12-11,2.095
2020-12-14,2.056
2020-12-15,2.035
2020-12-16,2.063
2020-12-17,2.090
2020-12-18,2.083
2020-12-21,2.070
2020-12-22,2.060
2020-12-23,2.094
2020-12-24,2.014
2020-12-25,1.996
2020-12-28,1.969
2020-12-29,1.974
2020-12-30,2.053
2020-12-31,2.095
2021-01-04,2.086
2021-01-05,2.066
2021-01-06,2.126
2021-01-07,2.085
2021-01-08,2.078
2021-01-11,2.099
2021-01-12,2.095
2021-01-13,2.096
2021-01-14,2.158
2021-01-15,2.185
2021-01-18,2.242
2021-01-19,2.250
2021-01-20,2.354
2021-01-21,2.336
2021-01-22,2.358
2021-01-25,2.482
2021-01-26,2.430
2021-01-27,2.417
2021-01-28,2.317
2021-01-29,2.329
2021-02-01,2.373
2021-02-02,2.430
2021-02-03,2.427
2021-02-04,2.458
2021-02-05,2.465
2021-02-08,2.474
2021-02-09,2.459
2021-02-10,2.570
2021-02-18,2.565
2021-02-19,2.535
2021-02-22,2.493
2021-02-23,2.456
2021-02-24,2.354
2021-02-25,2.401
2021-02-26,2.272
2021-03-01,2.310
2021-03-02,2.338
2021-03-03,2.357
2021-03-04,2.257
2021-03-05,2.221
2021-03-08,2.124
2021-03-09,2.075
2021-03-10,2.155
2021-03-11,2.205
2021-03-12,2.217
2021-03-15,2.123
2021-03-16,2.152
2021-03-17,2.155
2021-03-18,2.229
2021-03-19,2.146
2021-03-22,2.165
2021-03-23,2.129
2021-03-24,2.087
2021-03-25,2.023
2021-03-26,2.044
2021-03-29,1.990
2021-03-30,2.018
2021-03-31,2.037
2021-04-01,2.106
2021-04-02,2.119
2021-04-06,2.103
2021-04-07,2.087
2021-04-08,2.079
2021-04-09,2.045
2021-04-12,2.053
2021-04-13,2.031
2021-04-14,2.063
2021-04-15,2.034
