date,nav
2013-07-18,1.0
2013-07-19,1.001
2013-07-22,1.006
2013-07-24,2.687
2013-07-26,2.665
2013-07-29,2.643
2013-07-30,2.641
2013-07-31,2.657
2013-08-01,2.644
2013-08-02,2.583
2013-08-05,2.635
2013-08-06,2.599
2013-08-07,2.571
2013-08-08,2.59
2013-08-09,2.622
2013-08-12,2.667
2013-08-13,2.679
2013-08-14,2.647
2013-08-15,2.671
2013-08-16,2.718
2013-08-19,2.735
2013-08-20,2.705
2013-08-21,2.721
2013-08-22,2.716
2013-08-23,2.73
2013-08-26,2.774
2013-08-27,2.781
2013-08-28,2.82
2013-08-29,2.797
2013-08-30,2.774
2013-09-02,2.767
2013-09-03,2.761
2013-09-04,2.789
2013-09-05,2.754
2013-09-06,2.73
2013-09-09,2.758
2013-09-10,2.735
2013-09-11,2.72
2013-09-12,2.678
2013-09-13,2.624
2013-09-16,2.634
2013-09-17,2.616
2013-09-18,2.587
2013-09-23,2.631
2013-09-24,2.621
2013-09-25,2.619
2013-09-26,2.642
2013-09-27,2.632
2013-09-30,2.653
2013-10-08,2.628
2013-10-09,2.617
2013-10-10,2.594
2013-10-11,2.574
2013-10-14,2.548
2013-10-15,2.529
2013-10-16,2.546
2013-10-17,2.536
2013-10-18,2.597
2013-10-21,2.603
2013-10-22,2.591
2013-10-23,2.621
2013-10-24,2.622
2013-10-25,2.624
2013-10-28,2.637
2013-10-29,2.638
2013-10-30,2.635
2013-10-31,2.618
2013-11-01,2.603
2013-11-04,2.58
2013-11-05,2.583
2013-11-06,2.577
2013-11-07,2.586
2013-11-08,2.571
2013-11-11,2.529
2013-11-12,2.516
2013-11-13,2.506
2013-11-14,2.526
2013-11-15,2.526
2013-11-18,2.527
2013-11-19,2.505
2013-11-20,2.508
2013-11-21,2.458
2013-11-22,2.453
2013-11-25,2.429
2013-11-26,2.469
2013-11-27,2.455
2013-11-28,2.442
2013-11-29,2.443
2013-12-02,2.454
2013-12-03,2.418
2013-12-04,2.405
2013-12-05,2.432
2013-12-06,2.431
2013-12-09,2.436
2013-12-10,2.446
2013-12-11,2.464
2013-12-12,2.457
2013-12-13,2.418
