date,nav
2017-01-04,1.0
2017-01-06,1.0003
2017-01-10,1.0003
2017-01-11,1.0004
2017-01-12,1.0004
2017-01-13,1.0004
2017-01-16,0.9999
2017-01-17,0.9999
2017-01-18,0.9975
2017-01-19,0.9994
2017-01-20,0.9967
2017-01-23,1.0042
2017-01-24,1.0116
2017-01-25,1.0237
2017-01-26,1.0207
2017-02-03,1.0164
2017-02-06,1.0266
2017-02-07,1.027
2017-02-08,1.0433
2017-02-09,1.0413
2017-02-10,1.0464
2017-02-13,1.0525
2017-02-14,1.0442
2017-02-15,1.0519
2017-02-16,1.0678
2017-02-17,1.0618
2017-02-21,1.0749
2017-02-22,1.0896
2017-02-23,1.0775
2017-02-24,1.063
2017-02-27,1.0659
2017-02-28,1.061
2017-03-01,1.0685
2017-03-02,1.0605
2017-03-03,1.063
2017-03-06,1.0581
2017-03-07,1.0668
2017-03-08,1.0746
2017-03-09,1.0692
2017-03-10,1.0742
2017-03-13,1.0863
2017-03-14,1.0846
2017-03-15,1.0816
2017-03-16,1.0958
2017-03-17,1.1001
2017-03-20,1.1141
2017-03-21,1.0899
2017-03-22,1.0874
2017-03-23,1.0934
2017-03-24,1.0962
2017-03-27,1.0943
2017-03-28,1.0976
2017-03-29,1.1062
2017-03-30,1.1015
2017-03-31,1.0968
2017-04-05,1.0974
2017-04-06,1.1035
2017-04-07,1.1042
2017-04-10,1.1148
2017-04-11,1.1022
2017-04-12,1.1082
2017-04-13,1.0998
2017-04-18,1.1057
2017-04-19,1.1081
2017-04-20,1.1275
2017-04-21,1.1322
2017-04-24,1.1418
2017-04-25,1.1661
2017-04-26,1.1602
2017-04-27,1.171
2017-04-28,1.1607
2017-05-02,1.1753
2017-05-04,1.1621
2017-05-05,1.165
2017-05-08,1.1824
2017-05-09,1.2104
2017-05-10,1.2202
2017-05-11,1.2248
2017-05-12,1.2317
2017-05-15,1.2336
2017-05-16,1.2573
2017-05-17,1.2319
2017-05-18,1.2338
2017-05-19,1.2624
2017-05-22,1.2792
2017-05-23,1.2661
2017-05-24,1.2618
2017-05-25,1.2724
2017-05-26,1.2718
2017-05-31,1.2404
2017-06-01,1.2453
2017-06-02,1.2459
2017-06-05,1.25
2017-06-06,1.2512
