date,nav
2017-08-04,100.02
2017-08-11,100.079
2017-08-17,100.225
2017-08-18,100.222
2017-08-24,100.077
2017-08-25,100.054
2017-08-28,100.049
2017-08-29,100.097
2017-08-30,100.148
2017-08-31,100.17
2017-09-01,100.138
2017-09-04,100.116
2017-09-05,100.045
2017-09-06,100.12
2017-09-07,100.329
2017-09-08,100.407
2017-09-11,100.353
2017-09-12,100.378
2017-09-13,100.304
2017-09-14,100.476
2017-09-15,100.482
2017-09-18,100.393
2017-09-19,100.44
2017-09-20,100.427
2017-09-21,100.354
2017-09-22,100.424
2017-09-25,100.535
2017-09-26,100.415
2017-09-27,100.347
2017-09-28,100.422
2017-09-29,100.45
2017-10-09,100.261
2017-10-10,100.267
2017-10-11,100.22
2017-10-12,100.057
2017-10-13,100.082
2017-10-16,99.886
2017-10-17,99.625
2017-10-18,99.667
2017-10-19,99.823
2017-10-20,99.791
2017-10-23,99.767
2017-10-24,99.783
2017-10-25,99.379
2017-10-26,99.344
2017-10-27,99.014
2017-10-30,98.386
2017-10-31,98.534
2017-11-01,98.751
2017-11-02,98.686
2017-11-03,98.614
2017-11-06,98.671
2017-11-07,98.546
2017-11-08,98.592
2017-11-09,98.511
2017-11-10,98.409
2017-11-13,97.995
2017-11-14,97.922
2017-11-15,97.998
2017-11-16,98.183
2017-11-17,98.213
2017-11-20,98.092
2017-11-21,98.048
2017-11-22,97.966
2017-11-23,97.986
2017-11-24,98.1
2017-11-27,98.109
2017-11-28,98.09
2017-11-29,98.222
2017-11-30,98.259
2017-12-01,98.272
2017-12-04,98.282
2017-12-05,98.312
2017-12-06,98.311
2017-12-07,98.29
2017-12-08,98.278
2017-12-11,98.25
2017-12-12,98.243
2017-12-13,98.25
2017-12-14,98.287
2017-12-15,98.326
2017-12-18,98.354
2017-12-19,98.355
2017-12-20,98.348
2017-12-21,98.355
2017-12-22,98.395
2017-12-25,98.42
2017-12-26,98.403
2017-12-27,98.398
2017-12-28,98.418
2017-12-29,98.435
