date,close
2022-04-06,2.550
2022-04-07,2.496
2022-04-08,2.491
2022-04-11,2.386
2022-04-12,2.440
2022-04-13,2.394
2022-04-14,2.389
2022-04-15,2.385
2022-04-18,2.412
2022-04-19,2.377
2022-04-20,2.288
2022-04-21,2.240
2022-04-22,2.225
2022-04-25,2.103
2022-04-26,2.086
2022-04-27,2.200
2022-04-28,2.158
2022-04-29,2.244
2022-05-05,2.212
2022-05-06,2.177
2022-05-09,2.162
2022-05-10,2.204
2022-05-11,2.272
2022-05-12,2.277
2022-05-13,2.285
2022-05-16,2.257
2022-05-17,2.293
2022-05-18,2.290
2022-05-19,2.306
2022-05-20,2.347
2022-05-23,2.332
2022-05-24,2.246
2022-05-25,2.253
2022-05-26,2.249
2022-05-27,2.251
2022-05-30,2.276
2022-05-31,2.334
2022-06-01,2.354
2022-06-02,2.386
2022-06-06,2.477
2022-06-07,2.478
2022-06-08,2.494
2022-06-09,2.423
2022-06-10,2.480
2022-06-13,2.469
2022-06-14,2.475
2022-06-15,2.497
2022-06-16,2.507
2022-06-17,2.584
2022-06-20,2.626
2022-06-21,2.615
2022-06-22,2.596
2022-06-23,2.680
2022-06-24,2.738
2022-06-27,2.741
2022-06-28,2.754
2022-06-29,2.683
2022-06-30,2.730
2022-07-01,2.699
2022-07-04,2.750
2022-07-05,2.739
2022-07-06,2.725
2022-07-07,2.769
2022-07-08,2.731
2022-07-11,2.690
2022-07-12,2.622
2022-07-13,2.665
2022-07-14,2.735
2022-07-15,2.680
2022-07-18,2.717
2022-07-19,2.670
2022-07-20,2.680
2022-07-21,2.670
2022-07-22,2.651
2022-07-25,2.629
2022-07-26,2.634
2022-07-27,2.637
2022-07-28,2.629
2022-07-29,2.594
2022-08-01,2.657
2022-08-02,2.605
2022-08-03,2.553
2022-08-04,2.565
2022-08-05,2.606
2022-08-08,2.596
2022-08-09,2.614
2022-08-10,2.579
2022-08-11,2.647
2022-08-12,2.613
2022-08-15,2.638
2022-08-16,2.652
2022-08-17,2.695
2022-08-18,2.693
2022-08-19,2.653
2022-08-22,2.699
2022-08-23,2.697
2022-08-24,2.600
2022-08-25,2.590
2022-08-26,2.566
2022-08-29,2.553
2022-08-30,2.538
2022-08-31,2.491
2022-09-01,2.463
2022-09-02,2.461
2022-09-05,2.467
2022-09-06,2.468
2022-09-07,2.493
2022-09-08,2.448
2022-09-09,2.476
2022-09-13,2.475
2022-09-14,2.431
2022-09-15,2.349
2022-09-16,2.297
2022-09-19,2.285
2022-09-20,2.297
2022-09-21,2.265
2022-09-22,2.252
2022-09-23,2.239
2022-09-26,2.253
2022-09-27,2.306
2022-09-28,2.249
2022-09-29,2.267
2022-09-30,2.221
2022-10-10,2.166
2022-10-11,2.192
2022-10-12,2.274
2022-10-13,2.282
2022-10-14,2.365
2022-10-17,2.362
2022-10-18,2.373
2022-10-19,2.355
2022-10-20,2.337
2022-10-21,2.321
2022-10-24,2.266
2022-10-25,2.241
2022-10-26,2.302
2022-10-27,2.265
2022-10-28,2.187
2022-10-31,2.202
2022-11-01,2.275
2022-11-02,2.305
2022-11-03,2.309
2022-11-04,2.383
2022-11-07,2.379
2022-11-08,2.363
2022-11-09,2.326
2022-11-10,2.288
2022-11-11,2.330
2022-11-14,2.302
2022-11-15,2.361
2022-11-16,2.330
2022-11-17,2.316
2022-11-18,2.315
2022-11-21,2.319
2022-11-22,2.273
2022-11-23,2.269
2022-11-24,2.264
2022-11-25,2.242
2022-11-28,2.233
2022-11-29,2.268
