date,nav
2011-09-20,1.0
2011-09-23,0.9983
2011-09-30,0.9974
2011-10-14,0.9992
2011-10-21,0.9973
2011-10-28,0.9995
2011-11-04,1.0037
2011-11-11,1.0087
2011-11-18,0.9968
2011-11-21,0.9924
2011-11-22,0.9951
2011-11-23,0.9914
2011-11-25,0.9888
2011-11-30,0.8381
2011-12-02,0.8293
2011-12-05,0.7934
2011-12-06,0.7988
2011-12-07,0.8033
2011-12-08,0.8099
2011-12-09,0.7995
2011-12-12,0.7917
2011-12-13,0.7704
2011-12-14,0.7576
2011-12-15,0.7486
2011-12-16,0.7801
2011-12-19,0.7944
2011-12-20,0.7826
2011-12-21,0.7629
2011-12-22,0.7595
2011-12-23,0.763
2011-12-26,0.7547
2011-12-27,0.7293
2011-12-28,0.7199
2011-12-29,0.7188
2011-12-30,0.7316
2011-12-31,0.7315
2012-01-04,0.709
2012-01-05,0.6693
2012-01-06,0.6715
2012-01-09,0.6953
2012-01-10,0.7193
2012-01-11,0.7207
2012-01-12,0.7127
2012-01-13,0.6689
2012-01-16,0.6368
2012-01-17,0.6655
2012-01-18,0.6278
2012-01-19,0.6356
2012-01-20,0.6492
2012-01-30,0.6539
2012-01-31,0.6514
2012-02-01,0.6535
2012-02-02,0.668
2012-02-03,0.6826
2012-02-06,0.689
2012-02-07,0.6762
2012-02-08,0.6948
2012-02-09,0.7002
2012-02-10,0.7013
2012-02-13,0.7173
2012-02-14,0.7147
2012-02-15,0.7271
2012-02-16,0.7241
2012-02-17,0.7201
2012-02-20,0.7233
2012-02-21,0.7391
2012-02-22,0.7617
2012-02-23,0.759
2012-02-24,0.7644
2012-02-27,0.7624
2012-02-28,0.7498
2012-02-29,0.7371
2012-03-01,0.7449
2012-03-02,0.7593
2012-03-05,0.7612
2012-03-06,0.7527
2012-03-07,0.7511
2012-03-08,0.7634
2012-03-09,0.7793
2012-03-12,0.7878
2012-03-13,0.794
2012-03-14,0.7582
2012-03-15,0.7482
2012-03-16,0.7672
2012-03-19,0.781
2012-03-20,0.7572
2012-03-21,0.7534
2012-03-22,0.7525
2012-03-23,0.7396
2012-03-26,0.7389
2012-03-27,0.7375
2012-03-28,0.7006
2012-03-29,0.6864
2012-03-30,0.6812
2012-03-31,0.6812
2012-04-05,0.7002
2012-04-06,0.7042
2012-04-09,0.6925
2012-04-10,0.6998
2012-04-11,0.7013
2012-04-12,0.7158
2012-04-13,0.7217
2012-04-16,0.719
2012-04-17,0.7121
2012-04-18,0.7263
2012-04-19,0.728
2012-04-20,0.7315
2012-04-23,0.6935
2012-04-24,0.6847
2012-04-25,0.6856
2012-04-26,0.6821
2012-04-27,0.689
