date,open,close,high,low,volume
2020-01-02,104.219,104.218,104.320,104.217,616
2020-01-03,104.168,104.226,104.347,104.137,148
2020-01-06,104.275,104.367,104.414,104.153,261
2020-01-07,104.416,104.301,104.416,104.235,111
2020-01-08,104.301,104.305,104.407,104.219,331
2020-01-09,104.305,104.326,104.492,104.255,5661
2020-01-10,104.376,104.741,104.743,104.324,23625
2020-01-13,104.731,104.698,104.755,104.669,275
2020-01-14,104.698,104.608,104.717,104.604,361
2020-01-15,104.608,104.644,104.737,104.608,172
2020-01-16,104.598,104.617,104.677,104.598,155
2020-01-17,104.617,104.702,104.711,104.617,371
2020-01-20,104.702,104.814,104.814,104.655,223
2020-01-21,104.814,105.067,105.267,104.808,1238
2020-01-22,105.117,105.197,105.607,104.907,364
2020-01-23,105.247,105.530,105.627,105.247,530
2020-02-03,105.870,106.802,107.368,105.867,496
2020-02-04,106.597,106.712,106.861,106.587,204
2020-02-05,106.707,106.740,106.746,106.556,138
2020-02-06,106.555,106.742,106.844,106.555,176
2020-02-07,106.737,106.897,106.982,106.737,258
2020-02-10,106.897,107.089,107.112,106.897,518
2020-02-11,107.117,107.171,109.446,107.040,1250
2020-02-12,107.121,107.168,107.252,107.115,478
2020-02-13,107.117,107.056,107.117,106.974,329
2020-02-14,107.007,107.044,107.050,106.969,201
2020-02-17,106.989,106.863,106.989,106.678,308
2020-02-18,106.867,106.647,106.869,106.467,476
2020-02-19,106.687,106.621,106.696,106.617,431
2020-02-20,106.617,106.467,106.654,106.409,297
2020-02-21,106.476,106.678,106.755,106.476,479
2020-02-24,106.688,106.909,107.017,106.688,376
2020-02-25,106.957,106.917,107.112,106.917,375
2020-02-26,106.967,107.008,107.105,106.928,325
2020-02-27,107.008,107.216,107.257,107.008,393
2020-02-28,107.257,107.567,108.366,107.217,1005
2020-03-02,107.617,107.577,107.766,107.567,575
2020-03-03,107.576,107.568,107.577,107.288,510
2020-03-04,107.583,107.768,107.790,107.583,822
2020-03-05,107.781,107.987,108.065,107.781,600
2020-03-06,107.967,108.412,108.427,107.967,451
2020-03-09,108.468,109.815,110.377,108.468,3870
2020-03-10,109.766,108.941,109.767,108.820,2559
2020-03-11,108.967,108.953,108.967,108.667,1513
2020-03-12,109.003,109.149,109.467,108.777,3295
2020-03-13,109.157,108.245,109.467,107.972,2345
2020-03-16,108.295,108.256,108.657,108.058,1491
2020-03-17,108.206,107.840,108.256,107.167,986
2020-03-18,107.677,107.902,107.966,107.547,1117
2020-03-19,107.852,107.597,107.944,107.585,883
2020-03-20,107.593,107.567,107.637,107.448,1665
2020-03-23,107.877,108.157,108.267,107.877,1631
2020-03-24,108.149,108.343,108.627,107.917,1636
2020-03-25,108.337,108.352,108.437,108.089,1333
2020-03-26,108.352,108.518,108.567,108.327,2982
2020-03-27,108.467,108.544,108.867,108.382,3291
2020-03-30,108.517,108.572,108.707,108.498,3126
2020-03-31,108.472,108.682,108.682,108.467,2899
2020-04-01,108.695,108.837,108.866,108.695,2908
2020-04-02,108.677,108.800,108.997,108.677,2882
2020-04-03,108.783,108.801,108.914,108.777,2438
2020-04-07,108.851,109.261,109.329,108.828,2675
2020-04-08,109.311,109.477,109.536,109.270,2923
2020-04-09,109.549,109.360,109.559,109.267,3322
2020-04-10,109.357,109.248,109.522,109.167,3203
2020-04-13,109.247,109.334,109.355,109.084,3447
2020-04-14,109.367,109.296,109.449,109.258,2862
