date,close
2020-01-02,4.149
2020-01-03,4.139
2020-01-06,4.123
2020-01-07,4.155
2020-01-08,4.114
2020-01-09,4.158
2020-01-10,4.157
2020-01-13,4.202
2020-01-14,4.184
2020-01-15,4.152
2020-01-16,4.146
2020-01-17,4.151
2020-01-20,4.181
2020-01-21,4.105
2020-01-22,4.119
2020-01-23,3.996
2020-02-03,3.659
2020-02-04,3.770
2020-02-05,3.807
2020-02-06,3.897
2020-02-07,3.888
2020-02-10,3.901
2020-02-11,3.943
2020-02-12,3.971
2020-02-13,3.950
2020-02-14,3.977
2020-02-17,4.064
2020-02-18,4.039
2020-02-19,4.040
2020-02-20,4.131
2020-02-21,4.145
2020-02-24,4.112
2020-02-25,4.104
2020-02-26,4.070
2020-02-27,4.071
2020-02-28,3.933
2020-03-02,4.076
2020-03-03,4.073
2020-03-04,4.102
2020-03-05,4.200
2020-03-06,4.121
2020-03-09,3.990
2020-03-10,4.078
2020-03-11,4.011
2020-03-12,3.948
2020-03-13,3.889
2020-03-16,3.726
2020-03-17,3.693
2020-03-18,3.631
2020-03-19,3.596
2020-03-20,3.644
2020-03-23,3.526
2020-03-24,3.611
2020-03-25,3.706
2020-03-26,3.683
2020-03-27,3.700
2020-03-30,3.666
2020-03-31,3.669
2020-04-01,3.673
2020-04-02,3.723
2020-04-03,3.697
2020-04-07,3.780
2020-04-08,3.765
2020-04-09,3.776
2020-04-10,3.764
2020-04-13,3.743
2020-04-14,3.805
2020-04-15,3.783
2020-04-16,3.785
2020-04-17,3.819
2020-04-20,3.835
2020-04-21,3.795
2020-04-22,3.829
2020-04-23,3.822
2020-04-24,3.790
2020-04-27,3.807
2020-04-28,3.831
2020-04-29,3.851
2020-04-30,3.908
2020-05-06,3.918
2020-05-07,3.911
2020-05-08,3.953
2020-05-11,3.946
2020-05-12,3.945
2020-05-13,3.954
2020-05-14,3.921
2020-05-15,3.902
2020-05-18,3.914
2020-05-19,3.943
2020-05-20,3.927
2020-05-21,3.901
2020-05-22,3.815
2020-05-25,3.817
2020-05-26,3.863
2020-05-27,3.845
2020-05-28,3.850
2020-05-29,3.866
2020-06-01,3.968
2020-06-02,3.979
2020-06-03,3.978
2020-06-04,3.980
2020-06-05,4.003
2020-06-08,4.022
2020-06-09,4.049
2020-06-10,4.040
2020-06-11,4.003
2020-06-12,4.013
2020-06-15,3.956
2020-06-16,4.018
2020-06-17,4.022
2020-06-18,4.053
2020-06-19,4.105
2020-06-22,4.109
2020-06-23,4.128
2020-06-24,4.164
2020-06-29,4.128
2020-06-30,4.178
2020-07-01,4.272
2020-07-02,4.370
2020-07-03,4.457
2020-07-06,4.784
2020-07-07,4.736
